Go Trial:,1,1,0.4339,
Go Trial:,1,1,0.5488,
Go Trial:,1,1,0.3162,
Go Trial:,1,1,0.2834,
Go Trial:,1,1,0.2494,
Go Trial:,1,1,0.2997,
Go Trial:,1,1,0.2999,
Stop Trial:,0,1,0,0.2
Go Trial:,1,1,0.2992,
Go Trial:,1,1,0.2169,
Go Trial:,1,1,0.4667,
Stop Trial:,0,0,0.3832,0.2
Go Trial:,1,1,0.2831,
Stop Trial:,0,0,0.3831,0.05
Go Trial:,1,1,0.2826,
Go Trial:,1,1,0.2326,
Go Trial:,1,1,0.234,
Stop Trial:,0,1,0,0.1
Stop Trial:,0,0,0.2834,0.2
Go Trial:,1,1,0.5996,
Go Trial:,1,1,0.267,
Go Trial:,1,1,0.415,
Go Trial:,1,1,0.2496,
Stop Trial:,0,0,0.2168,0.1
Go Trial:,1,1,0.4325,
Go Trial:,1,1,0.0664,
Go Trial:,1,1,0.4991,
Go Trial:,1,1,0.3165,
Go Trial:,1,1,0.3658,
Go Trial:,1,1,0.3997,
Go Trial:,1,1,0.2327,
Stop Trial:,0,1,0,0.2
Go Trial:,1,1,0.3167,
Stop Trial:,0,0,0.216,0.2
Go Trial:,1,1,0.2335,
Go Trial:,1,1,0.8499,
Go Trial:,1,1,0.3325,
Go Trial:,1,1,0.2832,
Go Trial:,1,1,0.3997,
Go Trial:,1,1,0.2495,
Go Trial:,1,1,0.467,
Go Trial:,1,1,0.4834,
Go Trial:,1,1,0.2333,
Stop Trial:,0,0,0.3997,0.2
Stop Trial:,0,0,0.2326,0.1
Stop Trial:,0,0,0.2329,0.1
Stop Trial:,0,1,0,0.2
Stop Trial:,0,1,0,0.1
Stop Trial:,0,1,0,0.1
Stop Trial:,0,1,0,0.2
Go Trial:,1,1,0.7832,
Go Trial:,1,0,0,
Stop Trial:,0,1,0,0.1
Go Trial:,1,1,0.6836,
Go Trial:,1,1,0.3173,
Go Trial:,1,1,1.1337,
Go Trial:,1,1,0.3331,
Go Trial:,1,1,0.7169,
Go Trial:,1,1,0.2836,
Go Trial:,1,1,0.433,
Go Trial:,1,1,0.3823,
Go Trial:,1,1,0.3499,
Go Trial:,1,1,0.2993,
Go Trial:,1,1,0.4497,
Go Trial:,1,1,0.6163,
Go Trial:,1,1,0.2824,
Go Trial:,1,1,0.3337,
Go Trial:,1,1,0.3165,
Stop Trial:,0,1,0,0.2
Go Trial:,1,1,0.2332,
Go Trial:,1,1,0.4667,
Go Trial:,1,1,0.35,
Go Trial:,1,1,0.4176,
Go Trial:,1,1,0.3668,
Go Trial:,1,1,0.2997,
Stop Trial:,0,1,0,0.2
Go Trial:,1,1,0.2334,
Stop Trial:,0,0,0.2674,0.2
Go Trial:,1,1,0.2835,
Stop Trial:,0,1,0,0.1
Go Trial:,1,1,0.2333,
Go Trial:,1,1,0.1999,
Go Trial:,1,1,0.3498,
Go Trial:,1,1,0.2998,
Go Trial:,1,1,0.366,
Go Trial:,1,1,0.3499,
Go Trial:,1,1,0.0506,
Go Trial:,1,1,0.3501,
Go Trial:,1,1,0.3665,
Go Trial:,1,1,0.2329,
Stop Trial:,0,1,0,0.05
Go Trial:,1,1,0.4163,
Go Trial:,1,1,0.3832,
Go Trial:,1,1,0.2824,
Go Trial:,1,1,0.2829,
Stop Trial:,0,1,0,0.1
Go Trial:,1,1,0.5005,
Go Trial:,1,1,0.3334,
Go Trial:,1,1,0.5324,
Go Trial:,1,1,0.3327,
Go Trial:,1,1,0.2832,
Go Trial:,1,1,0.2336,
Go Trial:,1,1,0.3834,
Go Trial:,1,1,0.2514,
Go Trial:,1,1,0.4332,
Go Trial:,1,1,0.2669,
Stop Trial:,0,0,0.2164,0.1
Go Trial:,1,1,0.717,
Go Trial:,1,1,0.3157,
Go Trial:,1,1,0.7333,
Stop Trial:,0,1,0,0.1
Go Trial:,1,1,0.2331,
Go Trial:,1,1,0.5157,
Go Trial:,1,1,0.3341,
Go Trial:,1,1,0.2167,
Stop Trial:,0,0,0.202,0.2
Go Trial:,1,1,0.2502,
Go Trial:,1,1,0.2673,
Go Trial:,1,1,0.6158,
Go Trial:,1,1,0.2322,
Go Trial:,1,1,0.316,
Go Trial:,1,1,0.216,
Stop Trial:,0,0,0.2497,0.2
Go Trial:,1,1,0.282,
Go Trial:,1,1,0.4333,
Stop Trial:,0,0,0.6672,0.2
Go Trial:,1,1,0.2496,
Stop Trial:,0,1,0,0.1
Go Trial:,1,1,0.3834,
Go Trial:,1,1,0.3669,
Go Trial:,1,1,0.266,
Stop Trial:,0,0,0.4677,0.05
Go Trial:,1,1,0.2157,
Go Trial:,1,1,0.1999,
Go Trial:,1,1,0.433,
Go Trial:,1,1,0.267,
Go Trial:,1,1,0.2333,
Go Trial:,1,1,0.8002,
Go Trial:,1,1,0.4487,
Go Trial:,1,1,0.5833,
Go Trial:,1,1,0.3162,
Go Trial:,1,1,0.5489,
Go Trial:,1,1,0.3999,
Stop Trial:,0,1,0,0.2
Go Trial:,1,1,0.4499,
Go Trial:,1,1,0.5508,
Go Trial:,1,1,0.4333,
Go Trial:,1,1,0.4496,
Go Trial:,1,1,0.3166,
Go Trial:,1,1,0.4157,
