Go Trial:,1,1,0.5999,
Go Trial:,1,1,0.4065,
Go Trial:,1,1,0.5662,
Go Trial:,1,1,0.4328,
Go Trial:,1,1,0.433,
Go Trial:,1,1,0.4835,
Stop Trial:,0,1,0,0.1
Go Trial:,1,1,0.7671,
Go Trial:,1,1,0.4503,
Go Trial:,1,1,0.4001,
Go Trial:,1,1,0.3999,
Go Trial:,1,1,0.5006,
Go Trial:,1,1,0.5173,
Go Trial:,1,1,0.6659,
Go Trial:,1,1,0.4156,
Stop Trial:,0,1,0,0.05
Go Trial:,1,1,0.4171,
Go Trial:,1,1,0.6326,
Stop Trial:,0,0,0.5336,0.2
Go Trial:,1,1,0.9154,
Stop Trial:,0,1,0,0.1
Go Trial:,1,1,0.6662,
Go Trial:,1,1,0.4828,
Go Trial:,1,1,0.4159,
Go Trial:,1,1,0.4,
Stop Trial:,0,1,0,0.05
Go Trial:,1,1,0.3835,
Go Trial:,1,1,0.3493,
Stop Trial:,0,1,0,0.05
Go Trial:,1,1,0.3327,
Go Trial:,1,1,0.9999,
Go Trial:,1,1,0.8491,
Stop Trial:,0,1,0,0.1
Go Trial:,1,1,0.3666,
Stop Trial:,0,1,0,0.2
Go Trial:,1,1,0.4002,
Go Trial:,1,1,0.5662,
Go Trial:,1,1,0.6326,
Stop Trial:,0,1,0,0.1
Go Trial:,1,1,1.0985,
Go Trial:,1,1,0.5486,
Stop Trial:,0,1,0,0.05
Go Trial:,1,1,0.6841,
Go Trial:,1,1,0.5999,
Go Trial:,1,1,0.349,
Go Trial:,1,1,0.683,
Go Trial:,1,1,0.4497,
Stop Trial:,0,1,0,0.05
Go Trial:,1,1,0.383,
Stop Trial:,0,1,0,0.2
Stop Trial:,0,1,0,0.2
Stop Trial:,0,1,0,0.2
Go Trial:,1,1,0.3831,
Go Trial:,1,1,0.5664,
Stop Trial:,0,1,0,0.05
Go Trial:,1,1,0.483,
Go Trial:,1,1,0.4505,
Go Trial:,1,1,0.6667,
Go Trial:,1,1,0.4329,
Stop Trial:,0,1,0,0.05
Go Trial:,1,1,0.5501,
Go Trial:,1,1,0.4501,
Go Trial:,1,1,0.4169,
Go Trial:,1,1,0.5159,
Go Trial:,1,1,0.5319,
Go Trial:,1,1,0.4653,
Go Trial:,1,1,0.3833,
Go Trial:,1,1,0.4511,
Go Trial:,1,1,0.4829,
Go Trial:,1,1,0.5676,
Go Trial:,1,1,0.4669,
Go Trial:,1,1,0.498,
Go Trial:,1,1,0.3499,
Go Trial:,1,1,0.4662,
Go Trial:,1,1,0.516,
Stop Trial:,0,1,0,0.1
Stop Trial:,0,1,0,0.2
Go Trial:,1,1,0.3997,
Go Trial:,1,1,0.3996,
Go Trial:,1,1,0.4669,
Go Trial:,1,1,0.3819,
Go Trial:,1,1,0.2832,
Go Trial:,1,1,0.3158,
Go Trial:,1,1,0.3661,
Go Trial:,1,1,0.5334,
Go Trial:,1,1,0.7503,
Stop Trial:,0,1,0,0.2
Go Trial:,1,1,0.4165,
Go Trial:,1,1,0.5492,
Go Trial:,1,1,0.3837,
Go Trial:,1,1,0.4498,
Go Trial:,1,1,0.4163,
Go Trial:,1,1,0.4154,
Stop Trial:,0,0,0.4333,0.1
Go Trial:,1,1,0.3834,
Go Trial:,1,1,0.5825,
Go Trial:,1,1,0.3997,
Go Trial:,1,1,0.4,
Go Trial:,1,1,0.4331,
Go Trial:,1,1,0.3665,
Go Trial:,1,1,0.3317,
Go Trial:,1,1,0.2997,
Go Trial:,1,1,0.3496,
Go Trial:,1,1,0.3502,
Go Trial:,1,1,0.3498,
Stop Trial:,0,0,0.3989,0.05
Go Trial:,1,1,0.7665,
Go Trial:,1,1,0.4666,
Go Trial:,1,1,0.383,
Go Trial:,1,1,1.2157,
Go Trial:,1,1,0.3997,
Stop Trial:,0,0,0.45,0.05
Go Trial:,1,1,0.4333,
Go Trial:,1,1,0.9166,
Go Trial:,1,1,0.3493,
Go Trial:,1,1,0.3502,
Go Trial:,1,1,0.3493,
Go Trial:,1,1,0.2663,
Go Trial:,1,1,0.3658,
Stop Trial:,0,1,0,0.1
Stop Trial:,0,0,0.3327,0.05
Go Trial:,1,1,0.4333,
Go Trial:,1,1,0.4996,
Go Trial:,1,1,0.3,
Go Trial:,1,1,0.5827,
Go Trial:,1,1,0.3164,
Stop Trial:,0,1,0,0.2
Go Trial:,1,1,0.3172,
Go Trial:,1,1,0.3999,
Go Trial:,1,1,0.2662,
Go Trial:,1,1,0.4167,
Go Trial:,1,1,0.7162,
Go Trial:,1,1,0.5996,
Go Trial:,1,1,0.2996,
Go Trial:,1,1,0.4838,
Stop Trial:,0,0,0.6649,0.1
Go Trial:,1,1,0.4329,
Go Trial:,1,1,0.5165,
Stop Trial:,0,0,0.3152,0.05
Go Trial:,1,1,0.4993,
Stop Trial:,0,1,0,0.2
Stop Trial:,0,1,0,0.2
Go Trial:,1,1,0.5328,
Go Trial:,1,1,0.3328,
Go Trial:,1,1,0.3166,
Go Trial:,1,1,0.3003,
Go Trial:,1,1,0.383,
Go Trial:,1,1,0.3664,
Go Trial:,1,1,0.2991,
Stop Trial:,0,0,0.3335,0.05
